blind_id,receipt,source_file,drive_file_id,fetched_title,title_match,file_size_bytes,downloaded_byte_sha256,lf_normalized_sha256,canonical_json_sha256,locked_raw_sha256,locked_sanitized_sha256,locked_raw_hash_matches_downloaded_bytes,locked_raw_hash_matches_canonical_json
H025,natural,engine_card_049.json,1MLfY-zeGylpzqQ8Aoqnf9aOwjd-FGyuU,engine_card_049.json,True,5200,aa2734eb6cbe619298590d1d1eca522bfdef9602cbafad89d15fc8a85db7fe7f,053f140e5e3689d9430b1dc47898cfee2e14551c59c78b84e0f18431b520b8b0,85d2d304ca6b68832290b48399fd48e4f5af562e918138b0738d246d599c749e,80ac8db61b91e0116e642f405e4af25e037c575c8aac8141d877980bae8bcd8a,0fd3c918639778af0296a1c3c6b374ccfdf4b1fc7d03881206d532a8b8b592a5,False,False
H026,normal,engine_card_012.json,14A79t8NWAuetfhoa0iVqiIRUuqvtM1Rd,engine_card_012.json,True,5205,636fed9127954f0e4061ac03fcf8560b1c5bf5a998288e170dcdcc5924953c15,5e610fc47b979185529955bd45a253313273b0e13e2a2bac8f80b723a738e59e,d8f7d027a7b753de1951281129f559d6222ee718c82771d87e6661dcc8a581fc,08a70cee2b723288dc15ba1a8582933b3c608f0a898cdc230c187d8e7bf2bc92,571058eaa2ffb0a216d9ceb3038ef6d0ebc6b1f0dae52fe734bf67834f280d47,False,False
H027,normal,engine_card_049.json,1Mur3h4g_qWq1F-jt2L9j3lfd0d6CIIl5,engine_card_049.json,True,5198,a0234824996000775b5bf10db2994ebd11677d81a4635699ee4d6f1f01651cfc,0ce9535780fa63328deb0a096c64164376219831bc93a66fe05c290ac2044522,9c50551b4bf07a2bd4166fab2d6ada39abfb8e32841ae1983a36f6e3e520bb0a,93d65339faeff48c949997453508493cd104dbe020776270c084b102c8806a99,e2abb0378f80c7e6f8441f240f355351f569845dc3ff18395a16ac44929b6e89,False,False
H028,normal,engine_card_016.json,1vT3bJcZq6NyLHcqfjn9_-1_qPX26fHmn,engine_card_016.json,True,5211,c9ed97ec016c007b953c0900019fc49fea972595ca354ecee63dc8543fe9cab1,9465af3c4640f9c466f1f5bc22cf720e1b4077f12e792037e27bdc4c09010f8f,e7ea8f4a0501d839fbe411e97fc4bb73ab55727066b08b896f0eff9deee84133,20999f205afef043dd7416ffb051d3e1a4fda7e1cd732d9b3de41daa9e6a9210,df847ad88ee5396de6c13afd504e62c44f7b6605e421ae861694a577beeb99b4,False,False
H029,normal,engine_card_014.json,1G3JDTE4PLdmUS2ZLchKNUl6gqeFdbFCg,engine_card_014.json,True,5205,7d4e1e790fcc63e630b11bcbf29abe2e0e8c24d7c047aa59e92f6dd7077a2238,cb412f78a0f657a11fd40f4020292d12c4012e29404c93a74e4cf1eb476a7b32,90ad8143775b75dc93b9cc18fee302c5b413a99beed5b7abc57f9dded6bccc9b,33bbffe98469c209357b7b8049f7081ec65a1f29904a68cbcc26d14c38b8dad5,6f36e40486e709fa7ae81b53ac12431c8c0250d99160a630cbb637afc02430a3,False,False
H030,normal,engine_card_026.json,1AGxvhNuItjnk31Slqfg9rUJCXsLI9cyF,engine_card_026.json,True,5190,0b70a05b8c86bbd3ff7c2f0eefe3a9a74cc66cfcbb14a16e3b80b65cd5c8606d,0b0293656967467e6fdc0763f70da9c358c50ee24750152091ba33ed70785888,6a58818051be564de3d07d37455956f14c4d4a4db0b73c3e45870278ccf23547,a8bd1c08b5044f41087c3442517e1c4b614f5f3cde7a8fea0ee62d2381fd4d83,50b432a709f01dab9c3e892cc9f4fe07a7c686af55396f51ea41e78d7ec07915,False,False
H031,natural,engine_card_014.json,1CMz4cPXI0K4e_zPfkg1ZcfLe2ZcNEWEB,engine_card_014.json,True,5199,5b37c3113788d4e55835b822f9bda2a8f54fb679dda0c9f41e6bcc27df18b852,3128e458d5ed4039e1a1288a4516961064f105327ed7ae8909a524e2cddabfa0,ef69af6caa6ea4ee1f42d4fe3b62c9b968181f96038f20b18eea7a094acb16c9,5137b1b5a3cdfa9f2782df86673d83ff0148bf2164c4825f8b9396d0298f9904,cca160433b97e2ab0a0d02b4870f926bb1a8d3a291e89e9bcce2f7f49c5bf065,False,False
H032,natural,engine_card_010.json,1ihumfJwBG7SuFgSjreR6xxFBBdsyIntA,engine_card_010.json,True,5202,880be3b5ac25ba7d11108a4d892cf7933008335b42274b8cc15bb4295e7a8a0b,f71baa6ebeba4eefb33974dd6f35f67a2dd49f8862278987eba0cb4ca6b4ae57,7dc106a74a7597cd887dd789984a82e56d9fa7abbe6066309613645dccc9d09a,6942b0f4920e66db173a05b85095127e7754117db205ce7ca2ca51b638555006,2be6b581810f23c76205d759f4440618271bfe140c4d3c397e9f405c8618ff73,False,False
H033,natural,engine_card_039.json,1wgqImXa36GeWQMdmcrCt3ZLJYJfFurMv,engine_card_039.json,True,5201,d2d4d08377daf00701ff4042fd40747d8e2a554006089e3877292bb4e2ad0ba8,8daea6a0a0604f2ea7aac34202ededd78286df9b7862bbc6bdd634149a882f2d,242db6172cff351fbbcb50b2ab28f9cc7953036cf26d6a84913200ce0594dc78,cfcb6632a247251665494526fe3c48a7cc28fa86b8ecb390560f0167274547c3,41ca9e209c516af8becc4e448ae54fb71ca4171bdf1df0c1b743bb0125b094a3,False,False
H034,normal,engine_card_043.json,1Lcm11fnroHu5JiR-FNM323x_8w3BIFzW,engine_card_043.json,True,5205,75eb55ad0a3c56238d3850fde6cacd35b9fdaf538efba57836a4314f82d8d429,3b83905de2164860a1117a6b50ea61d1de81e0f54ba39926a40a0236069a84f1,e19f96cadb7674917f379da55beb54a237529ad7329b4d111a200c539e0d7ced,1241504efb6df885d20edaec538577e47b3cd6d76e5b804274877a30defde1b5,80ceeeb8c9b52cac3a39758c9525fcd6b981c77703432af8ae6aa85431c0aea1,False,False
